Pendel 1 in Ruhe
Pendel 2 ausgelenkt
0.025 0.210 -3.645
0.050 -7.875 0.267
0.123 -9.695 1.920
0.148 -9.940 2.576
0.173 -9.730 2.940
0.198 -9.310 3.159
0.223 -8.820 3.353
0.248 -8.190 3.475
0.273 -7.525 3.621
0.298 -6.685 3.645
0.323 -5.740 3.718
0.348 -4.760 3.694
0.373 -3.850 3.694
0.406 -2.870 3.645
0.432 -1.575 3.596
0.457 -0.420 3.451
0.482 0.665 3.378
0.507 1.715 3.183
0.532 2.765 3.037
0.557 3.675 2.965
0.582 4.620 2.843
0.607 5.460 2.649
0.632 6.195 2.551
0.657 6.790 2.381
0.682 7.420 2.284
0.707 8.015 2.090
0.732 8.330 2.090
0.757 8.575 1.993
0.782 8.820 1.847
0.807 8.960 1.798
0.832 8.855 1.725
0.857 8.645 1.725
0.882 8.260 1.725
0.907 7.910 1.725
0.932 7.455 1.798
0.957 6.790 1.823
0.982 5.950 1.847
1.007 5.145 1.920
1.032 4.270 2.017
1.057 3.395 2.090
1.082 2.310 2.163
1.107 1.365 2.284
1.132 0.280 2.406
1.157 -0.630 2.454
1.182 -1.715 2.503
1.207 -2.765 2.600
1.232 -3.780 2.722
1.257 -4.795 2.697
1.282 -5.670 2.770
1.307 -6.615 2.794
1.332 -7.525 2.770
1.357 -8.225 2.722
1.382 -8.890 2.697
1.407 -9.380 2.600
1.432 -9.835 2.503
1.457 -10.150 2.333
1.482 -10.570 2.163
1.507 -10.640 1.944
1.532 -10.710 1.750
1.557 -10.710 1.458
1.582 -10.605 1.215
1.607 -10.290 0.850
1.632 -10.010 0.607
1.657 -9.555 0.267
1.682 -9.100 0.024
1.707 -8.470 -0.243
1.732 -7.875 -0.559
1.757 -7.070 -0.850
1.782 -6.300 -1.045
1.807 -5.355 -1.264
1.832 -4.410 -1.507
1.857 -3.535 -1.628
1.882 -2.590 -1.774
1.907 -1.610 -1.920
1.932 -0.560 -1.968
1.957 0.420 -1.993
1.982 1.365 -1.920
2.007 2.310 -1.920
2.032 3.150 -1.701
2.057 3.955 -1.555
2.082 4.690 -1.312
2.107 5.355 -1.069
2.132 6.055 -0.729
2.157 6.510 -0.389
2.182 6.825 0.073
2.207 7.280 0.413
2.232 7.525 0.875
2.257 7.595 1.385
2.282 7.595 1.847
2.307 7.525 2.357
2.332 7.280 2.916
2.357 7.000 3.451
2.382 6.615 4.010
2.407 6.230 4.447
2.432 5.635 4.933
2.457 5.005 5.370
2.482 4.270 5.881
2.507 3.500 6.269
2.532 2.695 6.634
2.557 1.925 6.925
2.582 0.910 7.241
2.607 0.070 7.387
2.632 -0.700 7.582
2.657 -1.575 7.630
2.682 -2.485 7.630
2.707 -3.255 7.630
2.732 -4.060 7.533
2.757 -4.900 7.314
2.782 -5.530 7.096
2.807 -6.125 6.731
2.832 -6.720 6.342
2.857 -7.175 5.881
2.882 -7.700 5.370
2.907 -7.910 4.739
2.932 -8.120 4.131
2.957 -8.365 3.451
2.982 -8.470 2.722
3.007 -8.400 1.944
3.032 -8.400 1.215
3.057 -8.225 0.437
